Object,IncorCorefEval_file1,IncorCorefEval_file2,IncorCorefEval_improvement,IncorCorefEval_percentage_improvement,IncomCorefEval_file1,IncomCorefEval_file2,IncomCorefEval_improvement,IncomCorefEval_percentage_improvement,IncomDiscoEval_file1,IncomDiscoEval_file2,IncomDiscoEval_improvement,IncomDiscoEval_percentage_improvement,SentiBias_file1,SentiBias_file2,SentiBias_improvement,SentiBias_percentage_improvement,ExtEval_file1,ExtEval_file2,ExtEval_improvement,ExtEval_percentage_improvement
0_oracle_disco,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.0018256436509546115,0.2141351781067593,-0.2123095344558047,-11629.297664130132,2.0018256436509545,0.2141351781067593,1.7876904655441952,89.30300554466787
0_refresh,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.13125428241716386,0.08107067546225155,0.05018360695491231,38.233881615697975,0.13125428241716386,0.08107067546225155,0.05018360695491231,38.233881615697975
0_textrank,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.019680074769227396,0.2157399673538748,-0.1960598925846474,-996.2355066415449,2.0196800747692274,0.2157399673538748,1.8039401074153525,89.31811181142014
1_banditsumm,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.02020216001094216,0.006185842548600495,0.014016317462341665,69.3802912893966,1.020202160010942,0.006185842548600495,1.0140163174623416,99.3936650213979
1_heter_graph,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.052363145604936656,0.2117028425977979,-0.15933969699286124,-304.29741214370273,1.0523631456049367,0.2117028425977979,0.8406603030071388,79.8830999088149
1_oracle,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,1.0,-1.0,,0.09040945135574374,0.00424321685503759,0.08616623450070615,95.30666673516096,1.0904094513557436,1.0042432168550377,0.08616623450070593,7.902190722354111
1_refresh,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.025152005384572684,0.09811917879204785,-0.07296717340747516,-290.1047939987741,1.0251520053845726,0.09811917879204785,0.9270328265925247,90.42881657776792
1_rnn_ext_rl,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.19323159922431743,0.18660010584216158,0.006631493382155851,3.431888681135183,1.1932315992243174,0.18660010584216158,1.0066314933821559,84.36178643245246
1_textrank,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,1.0,0.0,0.0,0.27844386064033544,0.12220097320257789,0.15624288743775755,56.11288648219676,2.278443860640335,1.122200973202578,1.1562428874377573,50.7470430767079
1_textrank_st,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.1742589052818302,0.02417246037576759,0.1500864449060626,86.1284217660651,1.1742589052818302,0.02417246037576759,1.1500864449060626,97.94147097654192
103_mi_unsup,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,-1.0,,0.2614507363695237,0.06690036745535005,0.19455036891417365,74.4118649714584,0.2614507363695237,1.06690036745535,-0.8054496310858263,-308.06936796974134
103_neusumm,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,1.0,0.0,0.0,0.19314859041737187,0.18385837066711652,0.009290219750255346,4.809882241532414,2.1931485904173718,1.1838583706671164,1.0092902197502553,46.020147661685805
103_oracle,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.17549358939545023,0.19430159291045535,-0.01880800351500511,-10.717202594006958,2.17549358939545,0.19430159291045535,1.9811919964849949,91.0686202957532
103_oracle_disco,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,1.0,0.0,0.0,0.020419112584527777,0.2229552019594444,-0.20253608937491663,-991.8946699396956,2.020419112584528,1.2229552019594445,0.7974639106250834,39.470222077089964
103_textrank,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.24567863955679864,0.2669778058512343,-0.02129916629443568,-8.669523053717295,0.24567863955679864,0.2669778058512343,-0.02129916629443568,-8.669523053717295
103_textrank_st,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.042384895703030945,0.020675105792987647,0.021709789910043298,51.22058117625811,1.042384895703031,1.0206751057929877,0.021709789910043353,2.08270380734952
105_oracle_disco,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.16419717977156065,0.027983801329225705,0.13621337844233494,82.95719733544865,2.1641971797715605,0.027983801329225705,2.136213378442335,98.70696618631675
111_bert_lstm_pn_rl,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.013761015662748788,0.1763494212718797,-0.1625884056091309,-1181.5145741695462,1.0137610156627488,0.1763494212718797,0.8374115943908691,82.60443846752275
111_matchsumm,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.1147864261559638,0.1801387666952602,-0.0653523405392964,-56.933857711102696,0.1147864261559638,0.1801387666952602,-0.0653523405392964,-56.933857711102696
111_mi_unsup,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.11447509122808697,0.17495654019633855,-0.06048144896825158,-52.83371982446797,1.114475091228087,0.17495654019633855,0.9395185510317484,84.30144006147803
111_oracle,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.15811907244642498,0.17191725962281146,-0.013798187176386478,-8.726453401794194,0.15811907244642498,0.17191725962281146,-0.013798187176386478,-8.726453401794194
111_textrank,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.11180402828176739,0.17368785533229436,-0.061883827050526974,-55.35026599808012,1.1118040282817674,0.17368785533229436,0.938116172949473,84.37783539957852
111_textrank_st,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.17408170295675518,0.17143468055049504,0.0026470224062601355,1.5205632535187803,1.1740817029567552,0.17143468055049504,1.00264702240626,85.39840284379173
112_oracle_disco,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.12112720390515663,0.03574576681213715,0.08538143709301949,70.48906797177757,1.1211272039051567,1.0357457668121373,0.08538143709301949,7.615677935172327
112_textrank_st,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.3403146423931632,0.43537630220609047,-0.09506165981292725,-27.933461559113038,3.3403146423931633,0.43537630220609047,2.9049383401870728,86.96600922917351
113_oracle_disco,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.2693762543775457,0.07033542016974287,0.19904083420780283,73.8895247718591,2.2693762543775455,0.07033542016974287,2.1990408342078025,96.90067171390956
113_textrank,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.252657645429454,0.06593570738810478,0.18672193804134923,73.90314182813238,1.252657645429454,1.0659357073881048,0.18672193804134918,14.906063019104831
