Object,IncorCorefEval_file1,IncorCorefEval_file2,IncorCorefEval_improvement,IncorCorefEval_percentage_improvement,IncomCorefEval_file1,IncomCorefEval_file2,IncomCorefEval_improvement,IncomCorefEval_percentage_improvement,IncomDiscoEval_file1,IncomDiscoEval_file2,IncomDiscoEval_improvement,IncomDiscoEval_percentage_improvement,SentiBias_file1,SentiBias_file2,SentiBias_improvement,SentiBias_percentage_improvement,ExtEval_file1,ExtEval_file2,ExtEval_improvement,ExtEval_percentage_improvement
0_oracle_disco,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.0018256436509546115,0.2658795733528677,-0.2640539297019131,-14463.607372875964,2.0018256436509545,0.2658795733528677,1.7359460702980867,86.7181452992103
0_refresh,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.13125428241716386,0.04034099174314176,0.0909132906740221,69.26500911038735,0.13125428241716386,0.04034099174314176,0.0909132906740221,69.26500911038735
0_textrank,0.0,0.0,0.0,,3.0,0.0,3.0,100.0,2.0,0.0,2.0,100.0,0.019680074769227396,0.12833747924887573,-0.10865740447964833,-552.1188600845647,2.0196800747692274,0.12833747924887573,1.8913425955203516,93.64565304910779
1_banditsumm,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.02020216001094216,0.1434455562331196,-0.12324339622217745,-610.0505894192737,1.020202160010942,0.1434455562331196,0.8767566037778225,85.93949690994762
1_heter_graph,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.052363145604936656,0.01956996060390437,0.03279318500103229,62.62646107712183,1.0523631456049367,0.01956996060390437,1.0327931850010323,98.14037951769446
1_oracle,0.0,0.0,0.0,,1.0,2.0,-1.0,-100.0,0.0,1.0,-1.0,,0.09040945135574374,0.1281219026022073,-0.03771245124646355,-41.712952220086294,1.0904094513557436,2.1281219026022073,-1.0377124512464637,-95.16722823304953
1_refresh,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.025152005384572684,0.03469635347007877,-0.009544348085506082,-37.94666842493694,1.0251520053845726,0.03469635347007877,0.9904556519144938,96.61549182093606
1_rnn_ext_rl,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.19323159922431743,0.17467862070124185,0.01855297852307558,9.601420573835814,1.1932315992243174,0.17467862070124185,1.0185529785230756,85.36087874183059
1_textrank,0.0,0.0,0.0,,2.0,0.0,2.0,100.0,1.0,0.0,1.0,100.0,0.27844386064033544,0.1490876154404962,0.12935624519983924,46.45684947132954,2.278443860640335,0.1490876154404962,2.129356245199839,93.45660351716559
1_textrank_st,0.0,0.0,0.0,,2.0,0.0,2.0,100.0,0.0,1.0,-1.0,,0.1742589052818302,0.06088127457122838,0.1133776307106018,65.06274702416806,1.1742589052818302,1.0608812745712284,0.1133776307106018,9.655249809103248
